Player name,Score
Josh,880
Luke,237
Kate,548
Mark,661
Mary,397
Josh,936
Luke,762
Kate,921
Mark,438
Mary,65
Josh,848
Luke,510
Kate,409
Mark,199
Mary,200
Josh,492
Luke,953
Kate,974
Mark,925
Mary,462
Josh,221
Luke,539
Kate,451
Mark,673
Mary,950
Josh,428
Luke,633
Kate,169
Mark,219
Mary,771
Josh,922
Luke,928
Kate,345
Mark,591
Mary,445
Josh,656
Luke,824
Kate,552
Mark,132
Mary,231
Josh,710
Luke,505
Kate,85
Mark,1000
Mary,598
Josh,142
Luke,147
Kate,717
Mark,482
Mary,871
Josh,494
Luke,820
Kate,894
Mark,755
Mary,935
Josh,387
Luke,546
Kate,6
Mark,402
Mary,591
Josh,14
Luke,654
Kate,129
Mark,786
Mary,705
Josh,705
Luke,136
Kate,951
Mark,556
Mary,956
Josh,104
Luke,906
Kate,341
Mark,185
Mary,809
Josh,42
Luke,543
Kate,386
Mark,444
Mary,253
Josh,824
Luke,679
Kate,110
Mark,444
Mary,559
Josh,947
Luke,552
Kate,45
Mark,422
Mary,757
Josh,522
Luke,426
Kate,903
Mark,645
Mary,889
Josh,755
Luke,955
Kate,992
Mark,529
Mary,150
Josh,308
Luke,83
Kate,48
Mark,90
Mary,991
Josh,660
Luke,679
Kate,507
Mark,954
Mary,836
Josh,277
Luke,960
Kate,534
Mark,747
Mary,378
Josh,101
Luke,436
Kate,817
Mark,58
Mary,967
Josh,555
Luke,310
Kate,99
Mark,108
Mary,708
Josh,753
Luke,638
Kate,615
Mark,469
Mary,397
Josh,632
Luke,177
Kate,382
Mark,695
Mary,781
Josh,32
Luke,412
Kate,501
Mark,271
Mary,689
Josh,875
Luke,790
Kate,343
Mark,191
Mary,549
Josh,891
Luke,699
Kate,595
Mark,452
Mary,291
Josh,244
Luke,764
Kate,189
Mark,290
Mary,318
Josh,804
Luke,901
Kate,557
Mark,972
Mary,502
Josh,699
Luke,544
Kate,396
Mark,488
Mary,482
Josh,89
Luke,751
Kate,822
Mark,401
Mary,134
Josh,891
Luke,255
Kate,485
Mark,637
Mary,121
Josh,632
Luke,461
Kate,865
Mark,674
Mary,753
Josh,536
Luke,265
Kate,195
Mark,17
Mary,469
Josh,601
Luke,942
Kate,592
Mark,835
Mary,37
Josh,226
Luke,952
Kate,525
Mark,245
Mary,774
Josh,90
Luke,841
Kate,142
Mark,652
Mary,397
Josh,906
Luke,140
Kate,885
Mark,669
Mary,860
Josh,155
Luke,665
Kate,90
Mark,471
Mary,595
Josh,281
Luke,591
Kate,319
Mark,569
Mary,709
Josh,995
Luke,885
Kate,708
Mark,754
Mary,815
Josh,216
Luke,673
Kate,505
Mark,974
Mary,131
Josh,57
Luke,656
Kate,919
Mark,309
Mary,259
Josh,678
Luke,467
Kate,791
Mark,858
Mary,387
Josh,75
